question,answer_date,ministry,question_type,question_no,question_by,question_title,question_description,answer,id
150020.0,11.12.2009,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,2535.0,SHRI NAND KISHORE YADAV,MINORITY STATUS FOR CENTRAL UNIVERSITIES .,"(a) the details of central universities which have been given minority status, State-wise; (b) the criterion for granting minority status to universities; (c) the details of facilities given to those institutions/ universities which have been granted minority status; (d) whether Government will grant minority status to Jamia Millia Islamia; and (e) if so, by when and if not, the reasons thereof?","MINISTER OF STATE IN THE MINISTRY OF HUMAN RESROUCE DEVELOPMENT (SMT. D. PURANDESWARI) (a) to (e): Section 2(l) of the Aligarh Muslim University Act, 1920 defines the University as â<U+0080><U+0098>the educational institution of their choice established by the Muslims of India, which originated as the Muhammadan Anglo-Oriental College, Aligarh and which was subsequently incorporated as the Aligarh Muslim Universityâ<U+0080><U+0099>. Section 5(2)(c) of the Act empowers the University â<U+0080><U+0098>to promote especially the educational and cultural advancement of the Muslims of India.â<U+0080><U+0099> In view of this, the Central Government treats Aligarh Muslim University in the State of Uttar Pradesh as a minority institution within the meaning of Article 30(1) of the Constitution of India. However, the question relating to minority institution status of Aligarh Muslim University is pending before the Honâ<U+0080><U+0099>ble Supreme Court of India where the interpretation of the term â<U+0080><U+0098>establishingâ<U+0080><U+0099> a University, as was laid down in the â<U+0080><U+0098>Azeez Bashaâ<U+0080><U+0099> matter is under challenge. Universities with minority status enjoy the rights under Article 30(1) of the Constitution. The demand for grant of minority status to Jamia Millia Islamia, a Central University established under the Jamia Millia Islamia Act, 1988, has been received from certain quarters. The orders of the Supreme Court in the AMU matter will have a bearing on the issue relating to the minority character of Jamia Millia Islamia, which is pending before the Honâ<U+0080><U+0099>ble National Commission for Minority Educational Institutions.",
150022.0,11.12.2009,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,2544.0,SHRI SYED AZEEZ PASHA,MINIMUM MARKS FOR JEE .,(a) whether Government is aware of the protests organized by Studentsâ<U+0080><U+0099> Unions across the country regarding change in the minimum marks required for the Joint Entrance Examination (JEE) from 60 to 80 per cent in class XII; and (b) the reaction of Government regarding this issue?,"MINISTER OF STATE IN THE MINISTRY OF HUMAN RESOURCE DEVELOPMENT (SMT. D. PURANDESWARI) (a) & (b) : The Joint Admission Board (JAB), which consists of representatives from all the Indian Institutes of Technology (IITs), Indian School of Mines (ISM), Dhanbad and Institute of Technology - Banaras Hindu University (IT- BHU) as well as a representative of the Ministry of Human Resource Development, makes recommendations in respect of matters relating to the Joint Entrance Examination (JEE). A Review Committee has been set up by the JAB to give its recom-mendations regarding factoring in of class XII results on a percentile basis while deciding admissions into IITs. Integrating class XII results with JEE results will help reduce dependence on coaching centres. Further, variation in the results of various Boards would be taken care of by following the cut-off marks on percentile basis. As the idea is yet to crystallise, it is too early to expect any reaction in concrete terms.",
150039.0,21.12.2009,LAW & JUSTICE,STARRED,446.0,Shri Praveen Rashtrapal,APPOINTMENT OF JUDGES,"(a) the details regarding appointment of High Court judges during 2005 to 2008, year-wise; (b) how many from the above were women, Scheduled Caste, Schedule Tribe, Other Backward Class and minority category; and (c) the total number of judges in the Supreme Court and the number of vacancies as on 1 July, 2009?","MINISTER OF LAW AND JUSTICE (DR. M. VEERAPPA MOILY) (a), (b) & (c): A Statement is laid on the Table of the House. Statement referred to in reply to parts (a), (b) & (c) of the Starred Question No. 446 for answer in Rajya Sabha on 21.12.2009 (a): During the calandar years 2005 to 2008, the following number of High Court Judges were appointed: Calender Number of High Court Judges Appointed 2005 86 2006 110 2007 59 2008 78 (b): Out of the above, total number of women Judges appointed was 26. Appointment of Judges of the High Courts is made under Article 217 of the Constitution of India, which do not provide for reservation for any caste or class or persons. Hence, statistics on caste or religious background of Judges is not maintained. (c) : Against the approved strength of 31 Judges of the Supreme Court, including the Chief Justice of India, 24 Judges were in position as on 1.7.2009 leaving 7 vacancies to be filled up.",
150217.0,07.12.2009,LAW & JUSTICE,UNSTARRED,1923.0,SHRI BALBIR PUNJ,CHANGES IN MUSLIM PERSONAL LAW .,"(a) whether it is a fact that Justice A.R.Lakshmanan Committee has criticized the trend of polygamy in muslim society and found it gravely faulty and in conflict with Islamic law in letter and spirit; (b) if so, whether Government is planning to effect changes in the muslim personal law; and (c) if not, the reasons therefor ?","MINISTER OF LAW AND JUSTICE (DR. M. VEERAPPA MOILY) (a) to (c) The 18th Law Commission headed by Justice A.R. Lakshmanan in its 227th Report oil `Preventing Bigamy via Conversion to Islam - A proposal for giving Statutory Effect to Supreme Court Rulings` has observed that traditional understanding of the Muslim law on bigamy is gravely faulty and conflicts with the true Islamic law in letter and spirit. The said Report is available on the website of the Law Commission http://wwwJawcommissionofindia.nic.in. Since the subject matter of the said Report falls under List-Ill Concurrent List of the Seventh Schedule to the Constitution, comments/views of the State Governments and Union territory Administrations are solicited.",
150236.0,21.12.2009,LAW & JUSTICE,UNSTARRED,3479.0,Shri Abdul Wahab,CHANGES IN PERSONAL LAWS .,"(a) whether the Law Commission has recommended changes in the existing matrimonial laws and make conversions illegal and punishable; and (b) if so, the details thereof?",MINISTER OF LAW AND JUSTICE (DR. M. VEERAPPA MOILY) (a) & (b) The 18 Law Commission headed by Justice A.R. Lakshmanan examined the existing legal position of bigamy in India and suggested ways to check the social malaise of bigamy through the route of sham conversion in its 227th Report on `Preventing Bigamy via Conversion to Islam - A Proposal for giving Statutory Effect to Supreme Court Rulings`. The said Report has been laid on the Table of House on 14.12.2009 and also available on the website of the Law Commission http://www.lawcommissionofindia.nic.in,
150265.0,07.12.2009,LAW & JUSTICE,UNSTARRED,1921.0,Shri Parimal Nathwani,FUNCTIONING OF NALSA .,"(a) whether a National Legal Services Authority (NALSA) is functioning in the country; (b) if so, the number of persons benefited through legal aid services in the country, State-wise, during the last two years; (c) the number of those belonging to SC, ST and women category; and (d) the steps taken by Government to popularize NALSA among the people especially in the rural areas?","MINISTER OF LAW AND JUSTICE (DR. M. VEERAPPA MOILY) (a) to (c): Yes, Sir. National Legal Services Authority (NALSA) is having its headquarters at New Delhi. The Chief Justice of India is the Patron-in-Chief of NALSA, Senior Judge of the Supreme Court of India (Honâ<U+0080><U+0099>ble Mr. Justice Tarun Chatterjee) is the Executive Chairman of NALSA. Under NALSA, 35 State Authorities are working in all States and Union Territories. The Chief Justice of the High Court is the Patron-in-Chief and senior most Judge of the High Court is the Executive Chairman of the State Legal Services Authorities. There are 596 District Legal Services Authorities (DLSA) all over India under the Chairmanship of the District Judge. There are 2040 Taluk Legal Services Committees functioning in Taluks where the senior most Judicial Officer of the Taluk is the Chairman. Members of these Authorities and Committees are nominated by the appropriate Government. These Authorities and Committees provide free legal services to the persons mentioned in Section 12 of the Legal Services Authorities Act, 1987 i.e. Scheduled Tribes / Scheduled Caste, women, children, victims of trafficking & beggars, victims of mass-disasters, victims of ethnic violence, industrial workmen, persons in custody in jails, juvenile homes and psychiatric hospitals. Besides, persons whose annual income is below Rs.50,000/- also are entitled to free legal services. Apart from legal services, NALSA, State Authorities and Taluk Committees implement various projects as per the directions of NALSA and as per its National Plan of Action for spreading legal awareness and also for preventive and strategic legal aid. Apart from that, as per the guidelines issued by NALSA, the State & District Authorities and Taluk Committees organize Lok Adalats for settlement of cases pending before the Court and also those disputes which have not been brought before the Court (pre-litigation matters). A statement showing the number of persons including number of persons belonging to the categories of Scheduled Caste / Scheduled Tribes and women, benefited through legal services in the country, State-wise during the last two years i.e. 2007 & 2008 is annexed at Annexure - A. (d): NALSA is implementing its legal services including legal awareness and is organizing Lok Adalats in the rural areas as a part of its objective of bringing justice to the door-steps of the people. In this connection, NALSA has envisaged a scheme for trained para-legal volunteers to act as intermediaries between the people living in remote villages and the various legal services institutions under NALSA.",
150412.0,24.02.2010,HOME AFFAIRS,UNSTARRED,189.0,SHRIMATI SHOBHANA BHARTIA,REVIVAL OF KHALISTAN MOVEMENT IN PUNJAB .,"(a) whether Government is aware of the revival of the Khalistan movement in Punjab; (b) if so, the facts and details thereof; (c) whether the Union Government has taken any steps to find out ways to address the problem; and (d) if so, the details thereof?","MINISTER OF STATE IN THE MINISTRY OF HOME AFFAIRS (SHRI AJAY MAKEN) (a) & (b): There is no such movement in Punjab. However, available reports suggest that Sikh militant groups especially those based abroad, continue to persist with their efforts to revive militancy in Punjab. (c) & (d): The Government has adopted an integrated approach to counter such attempts which, inter alia, include sustained vigilance along the borders, strengthening of mechanisms for intelligence gathering and sharing; modernization and upgradation of police and security forces with advanced/sophisticated weapons etc. A close watch is maintained on the activities of various groups known to have been engaged in trying to foment terrorist activities in Punjab. In addition, pro-Khalistan terrorist outfits namely, Babbar Khalsa International, International Sikh Youth Federation, Khalistan Commando Force and Khalistan Zindabad Force continue to be banned under the Unlawful Activities (Prevention) Amendment Act, 2004.",
150425.0,24.02.2010,HOME AFFAIRS,UNSTARRED,202.0,SHRI S.S. AHLUWALIA,ARREST OF TERRORIST INVOLVED IN DELHI BLAST .,"(a) whether investigators have recently tracked down alleged terrorists suspected to have carried out bomb blasts on 13th September, 2008 in Delhi and were involved on 19th September, 2008 encounter with Delhi Police at Batla House that left Inspector M.C. Sharma martyred; (b) if so, the details thereof; (c) whether National Human Rights Commission (NHRC) conducted a probe into the Batla house incident responding to demands of those who had alleged the police encounter to be fake; (d) if so, the details thereof; (e) whether Government is seized of the allegation of fake encounter being reiterated publicly, including by member of the Cabinet; and (f) the response of Government thereto?","MINISTER OF STATE IN THE MINISTRY OF HOME AFFAIRS (SHRI MULLAPPALLY RAMACHANDRAN) (a) to (d): Yes Sir. One accused namely Shahzad Ahmed @ Pappu has been arrested recently on 2.2.2010 by Delhi Police. His initial arrest was made by the STF of U.P. Police on 1/2/2010 and he was subsequently arrested by Delhi Police on 2.2.2010. NHRC conducted a detailed probe on the Batla House incident and submitted its findings to Delhi High Court. NHRC in its findings concluded that â<U+0080><U+009C>the Police Party had clearly acted in right of self-defence. In such circumstances, the action taken by the Police Party in which Mohd Atif Ameen and Mohd Sajid received fatal injuries and died is fully protected by the Lawâ<U+0080>. High Court accepted this report and consequently rejected the prayer made in the Writ Petition by which an independent judicial enquiry had been sought into the said encounter. Further, another Petitioner ANHAD filed SLP (Civil) No. 26611/2009 before Honâ<U+0080><U+0099>ble Supreme Court against the above mentioned order of Honâ<U+0080><U+0099>ble Delhi High Court and on 30.10.2009, the Honâ<U+0080><U+0099>ble Supreme Court after hearing the petition dismissed the same. (e) to (f): No Sir. Government is not seized of the allegation of fake encounter being reiterated publicly.",
150511.0,25.02.2010,EXTERNAL AFFAIRS,UNSTARRED,320.0,SHRI LALIT KISHORE CHATURVEDI,REPORTS ON INDIAN COOPERATION IN AFGHANISTAN .,(a) whether Government agrees with American General Stanley Mac Crystalâ<U+0080><U+0099>s report regarding Indian co-operation in Afghanistan; (b) whether assessment has been made regarding Pakistanâ<U+0080><U+0099>s possible reactions on Indiaâ<U+0080><U+0099>s role in Afghanistan; and (c) whether any strategy has been formulated with regard to enhanced American assistance being used against India on the pretext of using it against Taliban?,"THE MINISTER OF EXTERNAL AFFAIRS (SHRI S.M. KRISHNA) (a) to (b) India is a neighbour of Afghanistan, and a fellow member of SAARC. It is assisting the reconstruction and development efforts of the Government and people of Afghanistan as part of the endeavour to bring about stability in that country. Our projects in Afghanistan are Afghan-led and Afghan-driven, and are aimed at building up local capacity. The situation in Afghanistan is of direct concern to India, since we have an abiding interest in the stability and prosperity of that country and since we are directly impacted by developments in that region. India does not see assistance in Afghanistanâ<U+0080><U+0099>s reconstruction as being a zero-sum game. Our assistance programme in Afghanistan has earned us goodwill among the ordinary people there, cutting across the ethnic and geographic divides, which is reflected in the results of recent opinion polls by reputed international bodies. Our efforts in helping the Government and people of Afghanistan stand on their own. Pakistanâ<U+0080><U+0099>s allegations questioning Indiaâ<U+0080><U+0099>s role in Afghanistan are completely baseless. (c) Government of India has strongly conveyed to the international community that it must remain conscious of Indiaâ<U+0080><U+0099>s security interests. Government carefully monitors all such developments and is committed to taking necessary steps to safeguard Indiaâ<U+0080><U+0099>s security.",
150534.0,25.02.2010,URBAN DEVELOPMENT,UNSTARRED,347.0,Shri Prabhat Jha,JNNURM IN MADHYA PRADESH AND CHHATTISGARH,"(a) the number of cities of Madhya Pradesh and Chhattisgarh selected under Jawahar Lal Nehru National Urban Renewal Mission (JNNURM); (b) the criteria for selecting the cities under this mission; (c) whether any survey is being done for selection of the cities; and (d) if so, the details of the survey report of the cities of Madhya Pradesh and Chhattisgarh ?","THE MINISTER OF STATE IN THE MINISTRY OF URBAN DEVELOPMENT (SHRI SAUGATA ROY) (a): Four (4) cities in the State of Madhya Pradesh and One (1) city in the State of Chhattisgarh are covered under the Urban Infrastructure & Governance (UIG) component of Jawaharlal Nehru National Urban Renewal Mission(JNNURM). (b): Cities with million plus population as per 2001 census, State Capitals and identified cities of religious historic and touristic importance have been selected under the Mission. (c): No, Sir. (d): Does not arise.",
