publish_date,headline_category,headline_text
20010102,unknown,Status quo will not be disturbed at Ayodhya; says Vajpayee
20010102,unknown,Park turns temple compound as residents watch
20010102,unknown,Status quo will not be disturbed at Ayodhya; says Vajpayee
20010102,unknown,Park turns temple compound as residents watch
20010103,unknown,Think again; Laxman tells Sangh Parivar
20010105,unknown,Sikh teacher guilty of assaulting student
20010105,unknown,Sikh teacher guilty of assaulting student
20010105,unknown,Sikh teacher guilty of assaulting student
20010106,unknown,Sikh teacher guilty of assaulting student
20010107,unknown,Muslim body rules out talks on Ayodhya
20010107,unknown,Muslim body rules out talks on Ayodhya
20010108,unknown,Sangh Parivar; Babri panel up the ante
20010108,unknown,Muslims see red over Coke logo
20010108,unknown,Sangh Parivar; Babri panel up the ante
20010108,unknown,Muslims see red over Coke logo
20010108,unknown,Temple Tactics
20010123,unknown,Sonia takes on the Hindutva brigade
20010123,unknown,Multi-religious meet held
20010124,unknown,Globo God
20010126,unknown,SP; JD (S) Muslim members are set to join NCP
20010126,unknown,Muslim minister strikes deal with Kumaratunga
20010128,unknown,Can an RSS man become an ISI agent
20010129,unknown,Fiji Hindus protest religious curbs
20010129,unknown,Fiji Hindus protest religious curbs
20010130,unknown,Christians protest over inaction
20010131,unknown,Akshay Kumar: Work is worship!
20010201,unknown,Islam Ganj kidnappings: Accused nabbed
20010208,unknown,A Science Kumbh & Universal Religion?
20010208,unknown,Divine Support
20010209,unknown,Catholic RSS
20010210,unknown,RSS workers don't deserve pension; says Cong MP
20010213,unknown,St Valentine's Day Is not Un-Hindu
20010213,unknown,God's Boxes
20010213,unknown,Indo-Fijian Hindus observe festival with fervour
20010214,unknown,BJP pipes down; Cong upbeat over Babri case
20010215,unknown,Acts of God
20010216,unknown,A Sangh mela; supported by GoI
20010216,unknown,RSS front with a missionary goal
20010218,unknown,Prof accuses Roman Catholic church for women neglect
20010221,unknown,Rana's success and its divine origins
20010223,unknown,The Many Benefits Of Daily Prayer
20010223,unknown,Leave it to God: Deve Gowda
20010228,unknown,Lent: A Time for Prayer & Good Works
20010228,unknown,Lent: A Time for Prayer & Good Works
20010228,unknown,Bishop's prayer for train goes unanswered
20010301,unknown,The Kingdom of God Is Within Each of Us
20010314,unknown,De-Islamizing Islam: The Taliban Project
20010318,unknown,Religion is a Bond Between Man & Nature
20010319,unknown,PMO in line of Sangh fire over Armsgate
20010328,unknown,Bishop's prayer for train goes unanswered
20010328,unknown,That's God
20010329,unknown,Veerappan legend drowns Bannari temple's colourful past
20010329,unknown,Priest enters poll fray
20010330,unknown,Religion is Path to Realisation of God
20010330,unknown,Body; mind and soul in God's own country
20010407,unknown,Dhoti-kurta to be made a must for temple EOs
20010412,unknown,Temple exists at Ayodhya by law: Advani
20010414,unknown,In Nepal; Every God has His Day
20010415,unknown,In Nepal; Every God has His Day
20010416,unknown,Sangh Parivar reminds govt of ultimatum for temple
20010416,unknown,Love God by Seeing Him in Other Beings
20010416,unknown,Art of God
20010417,unknown,BALCO sale a fraud; Sinha a criminal: RSS veteran
20010423,unknown,Religion should adopt modern idiom: Jathedar
20010424,unknown,The Philosophical Basis of Religion
20010425,unknown,Hindus at snooty end of class divide
20010426,unknown,Simhachalam temple spruced up for Chandanotsavam
20010427,unknown,NGOs warned against misusing Christian names
20010501,unknown,V P Singh's to blame; Joshi tells Ayodhya panel
20010502,unknown,V P Singh's to blame; Joshi tells Ayodhya panel
20010504,unknown,US Hindus take on McDonald's over French fries
20010505,unknown,Proceedings dropped against 21 in Ayodhya case
20010507,unknown,MGR is god; say villagers
20010508,unknown,Daler's album insults Islam; say Muslim groups
20010512,unknown,End polygamy; Muslim woman pleads with SC
20010512,unknown,Tenant sues Shahi Imam's brother
20010513,unknown,Centre stalls CBI move on Ayodhya
20010513,unknown,Encroachments threaten 900-year-old temple
20010515,unknown,Indian Islam Shares Our Common Heritage
20010516,unknown,Advani blames Rao govt for Ayodhya crisis
20010516,unknown,BJP turns to RSS in search for lost ideology
20010517,unknown,Cong must bring draft on Ram temple: Puri seer
20010518,unknown,Sangh sharpens knives against Vajpayee
20010518,unknown,Sangh sharpens knives against Vajpayee
20010522,unknown,MEA goofs on Taliban 'decree' against Hindus
20010527,city.bengaluru,Fishermen net big haul from KRS dam temple
20010528,city.lucknow,Ram temple construction to begin by March 2002: VHP
20010528,india,Kashmiri Sikhs protest forced entry into Sikh home
20010528,india,Ayodhya may force BJP to advance UP poll
20010529,city.patna,Dalit Muslims join reservation issue; demand share
20010529,india,VHP to begin Ram temple construction in March 2002
20010529,india,Cong launches fresh assault on Babri Masjid issue
20010530,city.patna,VHP warns against job quota for Muslims
20010530,city.patna,VHP warns against job quota for Muslims
20010620,city.bengaluru,Temple in Wilson Garden razed
20010620,india,Backward Muslims ready to support BJP in UP
20010620,india,Militants flee Kupwara mosque; 7 killed in J&K
20010621,india,One injured as bomb hurled at a mosque
20010621,india,SIMI demands ban on RSS and VHP
20010622,city.kolkata,Police rescue Sikh pilgrims at station
20010622,india,Court asked to fix date in July for Ayodhya cases
20010622,india,Ethnic Naga people begin exodus from Imphal
20010623,india,CBI court to take up Ayodhya case on July 27
20010623,india,Religious leaders' help sought to save girl child
20010624,india,'Fresh notification on Ayodhya under study'
20010624,india,Govt reviewing security at sensitive Ayodhya sites
20010625,city.delhi,'Orthodox' religious leaders' presence at meet opposed
20010625,india,Liberhan rejects Katiyar's plea in Ayodhya case
20010626,entertainment.hindi.bollywood.news,Amitabh Bachchan: Hero worship
20010626,india,HC summons file on Ayodhya case
20010627,india,BSP to launch stir for fresh notification on Ayodhya trial
20010627,india,Ram responsible for demolition of mosque: Katiyar
20010627,india,Saints to take final call on temple construction
20010628,city.chandigarh,Muslim intellectuals discuss Wakf board functioning
20010629,city.lucknow,Ayodhya case: UP seeks Advocate General's opinion
20010703,india,Curiously; moderate Muslim leaders want SIMI banned
20010708,city.delhi,Case against former Imam withdrawn
20010709,city.chandigarh,Dhillon dubs Chauhan's return as 'betrayal of Sikhs'
20010709,city.thiruvananthapuram,Jaya nod for sandalwood to Guruvayur temple
20010709,unknown,Jaya concedes Guruvayur temple plea for wood
20010711,city.lucknow,Rajnath; Sikh leaders criticised for inaction
20010713,city.chandigarh,Inclusion of Sikh shrines in Indo-Pak talks sought
20010713,city.lucknow,Daily hearing in Ayodhya case
20010714,city.chandigarh,PM may raise issue of Sikh shrines with Musharraf
20010714,city.chandigarh,PM may raise issue of Sikh shrines with Musharraf
20010714,city.delhi,Shahi Imam's blessings
20010715,city.bengaluru,Reaching for a composition that goes beyond religion
20010715,city.kolkata,Indo-Pak flags flutter at Kalighat temple
20010715,home.science,Hindu woman wins payout for cow cartilage operation
20010715,india,Enact legislation for temple construction: VHP
